,Seleccionada,Ranking
rank,True,1
division_id,True,1
wins,True,1
games_played,True,1
losses,True,1
wild_card_winner,True,1
triples,True,1
earned_run_average,True,1
sacrifice_flies,True,1
complete_games,True,1
homeruns_allowed,False,2
league_id,False,3
errors,False,4
batters_hit_by_pitch,False,5
opponents_runs_scored,False,6
homeruns,False,7
saves,False,8
home_games,False,9
stolen_bases,False,10
double_plays,False,11
hits_allowed,False,12
doubles,False,13
year,False,14
shutouts,False,15
runs_scored,False,16
walks,False,17
hits,False,18
at_bats,False,19
walks_allowed,False,20
caught_stealing,False,21
outs_pitches,False,22
earned_runs_allowed,False,23
strikeouts_by_batters,False,24
strikeouts_by_pitchers,False,25
home_attendance,False,26
fielding_percentage,False,27
