,Seleccionada,Ranking
rank,True,1
losses,True,1
home_games,True,1
games_played,True,1
wild_card_winner,True,1
shutouts,True,1
sacrifice_flies,True,1
earned_run_average,True,1
complete_games,True,1
fielding_percentage,True,1
division_id,False,2
batters_hit_by_pitch,False,3
league_id,False,4
triples,False,5
saves,False,6
opponents_runs_scored,False,7
homeruns_allowed,False,8
strikeouts_by_batters,False,9
double_plays,False,10
walks_allowed,False,11
runs_scored,False,12
caught_stealing,False,13
stolen_bases,False,14
homeruns,False,15
year,False,16
hits_allowed,False,17
walks,False,18
doubles,False,19
errors,False,20
wins,False,21
outs_pitches,False,22
earned_runs_allowed,False,23
strikeouts_by_pitchers,False,24
hits,False,25
at_bats,False,26
home_attendance,False,27
