,Seleccionada,Ranking
league_id,True,1
rank,True,1
wins,True,1
games_played,True,1
losses,True,1
wild_card_winner,True,1
triples,True,1
sacrifice_flies,True,1
shutouts,True,1
fielding_percentage,True,1
batters_hit_by_pitch,False,2
earned_runs_allowed,False,3
opponents_runs_scored,False,4
earned_run_average,False,5
walks_allowed,False,6
saves,False,7
division_id,False,8
complete_games,False,9
errors,False,10
caught_stealing,False,11
home_games,False,12
stolen_bases,False,13
runs_scored,False,14
walks,False,15
outs_pitches,False,16
hits,False,17
at_bats,False,18
homeruns_allowed,False,19
hits_allowed,False,20
strikeouts_by_batters,False,21
homeruns,False,22
doubles,False,23
double_plays,False,24
year,False,25
strikeouts_by_pitchers,False,26
home_attendance,False,27
