year,league_id,division_id,rank,games_played,home_games,wins,losses,division_winner,wild_card_winner,league_winner,world_series_winner,runs_scored,at_bats,hits,doubles,triples,homeruns,walks,strikeouts_by_batters,stolen_bases,caught_stealing,batters_hit_by_pitch,sacrifice_flies,opponents_runs_scored,earned_runs_allowed,earned_run_average,complete_games,shutouts,saves,outs_pitches,hits_allowed,homeruns_allowed,walks_allowed,strikeouts_by_pitchers,errors,double_plays,fielding_percentage,home_attendance
1876.0,1,1,4.0,70.0,78.01447574334898,39.0,31.0,0,0,0,0,471.0,2722.0,723.0,96.0,24.0,9.0,58.0,98.0,106.24778434268833,47.54624277456647,45.170547147846335,44.23338048090523,450.0,176.0,2.51,49.0,3.0,7.0,1896.0,732.0,7.0,104.0,77.0,442.0,42.0,0.86,1375101.5418535126
1876.0,1,1,1.0,66.0,78.01447574334898,52.0,14.0,0,0,1,0,624.0,2748.0,926.0,131.0,32.0,8.0,70.0,45.0,106.24778434268833,47.54624277456647,45.170547147846335,44.23338048090523,257.0,116.0,1.76,58.0,9.0,4.0,1777.0,608.0,6.0,29.0,51.0,282.0,33.0,0.899,1375101.5418535126
1876.0,1,1,8.0,65.0,78.01447574334898,9.0,56.0,0,0,0,0,238.0,2372.0,555.0,51.0,12.0,4.0,41.0,136.0,106.24778434268833,47.54624277456647,45.170547147846335,44.23338048090523,579.0,238.0,3.62,57.0,0.0,0.0,1773.0,850.0,9.0,34.0,60.0,469.0,45.0,0.841,1375101.5418535126
1876.0,1,1,2.0,69.0,78.01447574334898,47.0,21.0,0,0,0,0,429.0,2664.0,711.0,96.0,22.0,2.0,39.0,78.0,106.24778434268833,47.54624277456647,45.170547147846335,44.23338048090523,261.0,116.0,1.67,69.0,11.0,0.0,1872.0,570.0,2.0,27.0,114.0,337.0,27.0,0.888,1375101.5418535126
1876.0,1,1,5.0,69.0,78.01447574334898,30.0,36.0,0,0,0,0,280.0,2570.0,641.0,68.0,14.0,6.0,24.0,98.0,106.24778434268833,47.54624277456647,45.170547147846335,44.23338048090523,344.0,121.0,1.69,67.0,5.0,0.0,1929.0,605.0,3.0,38.0,125.0,397.0,44.0,0.875,1375101.5418535126
1876.0,1,1,6.0,57.0,78.01447574334898,21.0,35.0,0,0,0,0,260.0,2180.0,494.0,39.0,15.0,2.0,18.0,35.0,106.24778434268833,47.54624277456647,45.170547147846335,44.23338048090523,412.0,173.0,2.94,56.0,2.0,0.0,1590.0,718.0,8.0,24.0,37.0,473.0,18.0,0.825,1375101.5418535126
1876.0,1,1,7.0,60.0,78.01447574334898,14.0,45.0,0,0,0,0,378.0,2387.0,646.0,79.0,35.0,7.0,27.0,36.0,106.24778434268833,47.54624277456647,45.170547147846335,44.23338048090523,534.0,197.0,3.22,53.0,1.0,2.0,1650.0,783.0,2.0,41.0,22.0,456.0,32.0,0.839,1375101.5418535126
1876.0,1,1,3.0,64.0,78.01447574334898,45.0,19.0,0,0,0,0,386.0,2478.0,642.0,73.0,27.0,2.0,59.0,63.0,106.24778434268833,47.54624277456647,45.170547147846335,44.23338048090523,229.0,78.0,1.22,63.0,16.0,0.0,1731.0,472.0,3.0,39.0,103.0,268.0,33.0,0.902,1375101.5418535126
1877.0,1,1,1.0,61.0,78.01447574334898,42.0,18.0,0,0,1,0,419.0,2368.0,700.0,91.0,37.0,4.0,65.0,121.0,106.24778434268833,47.54624277456647,45.170547147846335,44.23338048090523,263.0,131.0,2.15,61.0,7.0,0.0,1644.0,557.0,5.0,38.0,177.0,290.0,36.0,0.889,1375101.5418535126
1877.0,1,1,5.0,60.0,78.01447574334898,26.0,33.0,0,0,0,0,366.0,2273.0,633.0,79.0,30.0,0.0,57.0,111.0,106.24778434268833,47.54624277456647,45.170547147846335,44.23338048090523,375.0,200.0,3.37,45.0,3.0,3.0,1602.0,630.0,7.0,58.0,92.0,313.0,43.0,0.883,1375101.5418535126
1877.0,1,1,6.0,58.0,78.01447574334898,15.0,42.0,0,0,0,0,291.0,2135.0,545.0,72.0,34.0,6.0,78.0,110.0,106.24778434268833,47.54624277456647,45.170547147846335,44.23338048090523,485.0,240.0,4.19,48.0,1.0,1.0,1545.0,747.0,4.0,61.0,85.0,394.0,33.0,0.851,1375101.5418535126
1877.0,1,1,3.0,60.0,78.01447574334898,31.0,27.0,0,0,0,0,341.0,2358.0,637.0,63.0,31.0,4.0,30.0,97.0,106.24778434268833,47.54624277456647,45.170547147846335,44.23338048090523,311.0,140.0,2.32,59.0,4.0,0.0,1632.0,572.0,2.0,56.0,99.0,313.0,32.0,0.885,1375101.5418535126
1877.0,1,1,2.0,61.0,78.01447574334898,35.0,25.0,0,0,0,0,339.0,2355.0,659.0,75.0,36.0,9.0,58.0,140.0,106.24778434268833,47.54624277456647,45.170547147846335,44.23338048090523,288.0,140.0,2.25,61.0,4.0,0.0,1677.0,617.0,4.0,41.0,141.0,267.0,37.0,0.904,1375101.5418535126
1877.0,1,1,4.0,60.0,78.01447574334898,28.0,32.0,0,0,0,0,284.0,2178.0,531.0,51.0,36.0,1.0,57.0,147.0,106.24778434268833,47.54624277456647,45.170547147846335,44.23338048090523,318.0,160.0,2.66,52.0,1.0,0.0,1623.0,582.0,2.0,92.0,132.0,281.0,29.0,0.892,1375101.5418535126
1878.0,1,1,1.0,60.0,78.01447574334898,41.0,19.0,0,0,1,0,298.0,2220.0,535.0,75.0,25.0,2.0,35.0,154.0,106.24778434268833,47.54624277456647,45.170547147846335,44.23338048090523,241.0,140.0,2.32,58.0,9.0,0.0,1632.0,595.0,6.0,38.0,184.0,228.0,48.0,0.914,1375101.5418535126
1878.0,1,1,4.0,61.0,78.01447574334898,30.0,30.0,0,0,0,0,371.0,2333.0,677.0,91.0,20.0,3.0,88.0,157.0,106.24778434268833,47.54624277456647,45.170547147846335,44.23338048090523,331.0,145.0,2.37,61.0,1.0,0.0,1653.0,577.0,4.0,35.0,175.0,304.0,37.0,0.891,1375101.5418535126
1878.0,1,1,2.0,61.0,78.01447574334898,37.0,23.0,0,0,0,0,333.0,2281.0,629.0,67.0,22.0,5.0,58.0,141.0,106.24778434268833,47.54624277456647,45.170547147846335,44.23338048090523,281.0,112.0,1.84,61.0,6.0,0.0,1644.0,546.0,2.0,63.0,220.0,269.0,37.0,0.9,1375101.5418535126
