Target,Tipo,Modelo,Accuracy,F1,Precision,Recall
leaguewinner,Modelos Supervisados,KNN (k=1),0.8402,0.1073,0.1142,0.1025
leaguewinner,Modelos Supervisados,KNN (k=3),0.8865,0.0635,0.1406,0.0417
leaguewinner,Modelos Supervisados,Naive Bayes,0.8894,0.3811,0.4159,0.3573
leaguewinner,Modelos Supervisados,Decision Tree (entropy),0.9501,0.7341,0.7386,0.7302
leaguewinner,Modelos Supervisados,Decision Tree (J48-like),0.9228,0.7048,0.5529,0.9734
leaguewinner,Modelos Supervisados,Logistic Regression,0.9152,0.3299,0.6352,0.2282
divisionwinner,Modelos Supervisados,KNN (k=1),0.8696,0.304,0.3012,0.3077
divisionwinner,Modelos Supervisados,KNN (k=3),0.8948,0.3255,0.4041,0.2731
divisionwinner,Modelos Supervisados,Naive Bayes,0.7022,0.3537,0.2222,0.8692
divisionwinner,Modelos Supervisados,Decision Tree (entropy),0.9968,0.9827,0.9851,0.9808
divisionwinner,Modelos Supervisados,Decision Tree (J48-like),0.9946,0.972,0.953,0.9923
divisionwinner,Modelos Supervisados,Logistic Regression,0.9231,0.4729,0.66,0.3692
worldserieswinner,Modelos Supervisados,KNN (k=1),0.9213,0.0512,0.0527,0.05
worldserieswinner,Modelos Supervisados,KNN (k=3),0.9508,0.0281,0.1,0.0167
worldserieswinner,Modelos Supervisados,Naive Bayes,0.9055,0.307,0.2426,0.4583
worldserieswinner,Modelos Supervisados,Decision Tree (entropy),0.9468,0.3941,0.4095,0.4
worldserieswinner,Modelos Supervisados,Decision Tree (J48-like),0.8962,0.4071,0.2703,0.825
worldserieswinner,Modelos Supervisados,Logistic Regression,0.9551,0.0837,0.4417,0.05
leaguewinner,J48 + SMOTE,Decision Tree (J48-SMOTE),0.9318,0.7231,0.5869,0.9429
worldserieswinner,J48 + SMOTE,Decision Tree (J48-SMOTE),0.9102,0.4215,0.2975,0.7417
divisionwinner,J48 + SMOTE,Decision Tree (J48-SMOTE),0.991,0.9544,0.9167,0.9962
worldserieswinner,Random Forest,Random Forest (100 trees),0.9558,0.1927,0.5076,0.125
divisionwinner,Random Forest,Random Forest (100 trees),0.9968,0.9823,1.0,0.9654
leaguewinner,Random Forest,Random Forest (100 trees),0.9626,0.7749,0.8996,0.6845
worldserieswinner,Combinados,VotingClassifier,0.9569,0.0436,0.28,0.025
worldserieswinner,Combinados,StackingClassifier,0.9558,0.1023,0.4309,0.0667
leaguewinner,Combinados,VotingClassifier,0.921,0.3078,0.8893,0.1901
leaguewinner,Combinados,StackingClassifier,0.9472,0.6675,0.8135,0.5902
divisionwinner,Combinados,VotingClassifier,0.9415,0.5831,0.8732,0.4385
divisionwinner,Combinados,StackingClassifier,0.9953,0.9744,0.9851,0.9654
