,Mutual Information,Chi2
rank,0.19022258428641425,75.33111874189505
wins,0.11771945605979073,13.19012645155699
losses,0.10783624510537604,14.27415962505649
earned_run_average,0.04298793587346994,6.297083341807531
runs_scored,0.03884162539296687,3.8590485645022747
earned_runs_allowed,0.03300184938983963,4.152181098969144
opponents_runs_scored,0.032727008568758986,4.877069622423359
shutouts,0.030639328582516168,11.674748450221525
walks_allowed,0.013877471105081307,1.0925503551342846
hits_allowed,0.013581785983447281,1.171472240194484
wild_card_winner,0.012278640146573094,5.210774540884785
hits,0.011402607859911651,0.5326330763784684
saves,0.009139205879753476,0.6448633985519749
home_attendance,0.008897816344730192,1.948981519576905
outs_pitches,0.006692286380335588,2.6905136889072696e-05
sacrifice_flies,0.006247262754049965,0.15249573955316653
complete_games,0.005940072698563004,5.884012771872651
home_games,0.005786886137438385,0.0017312803738056565
triples,0.005085630674557251,2.417337021865366
batters_hit_by_pitch,0.004326064647845129,0.13928863604556463
league_id,0.0038187030924841103,0.028638908935510618
strikeouts_by_pitchers,0.003439616817159763,0.03250724739689275
games_played,0.0029827834169326994,0.023527336433771077
walks,0.0017911545262336848,0.521248614646494
stolen_bases,0.0010042953265139154,1.0809325015833084
caught_stealing,0.0006171070147065194,0.0015039657250282726
double_plays,0.0001048380562258533,0.1079863290208286
at_bats,0.0,0.0007679442475082055
homeruns,0.0,0.28294429100750906
homeruns_allowed,0.0,2.582663762481447
errors,0.0,0.028798362927108745
fielding_percentage,0.0,0.000655093565918645
doubles,0.0,0.226032647010396
division_id,0.0,0.004017125311182176
strikeouts_by_batters,0.0,1.6881857599189072
year,0.0,2.039437626736741
